2024-03-23 00:00:01 start                                   
2024-03-23 00:00:01 TLD:                                    https://www.tuwien.at
2024-03-23 00:00:01 crawled site:                           /tu-wien/organisation/zentrale-bereiche/studienabteilung/studienplaene
2024-03-23 00:00:01 temp download folder:                   /mnt/usb-SanDisk_Cruzer_Contour/git_repos/TU-Wien-curricula-archive/temp_downloads/
2024-03-23 00:00:01 curricula folder:                       /mnt/usb-SanDisk_Cruzer_Contour/git_repos/TU-Wien-curricula-archive/curricula/
2024-03-23 00:00:01 searchstr: 0                            BSc
2024-03-23 00:00:01 searchstr: 1                            MSc
2024-03-23 00:00:01 searchstr: 2                            Doktor
2024-03-23 00:00:01 searchstr: 3                            Erweiterungsstudium
2024-03-23 00:00:01 searchstr: 4                            Gemeinsame_Studienprogramme
2024-03-23 00:00:01 searchstr: 5                            Alte_Studienplaene
2024-03-23 00:00:01 fetching page source                    
2024-03-23 00:00:02 page crawling donw                      
2024-03-23 00:00:02 parsing page source                     
2024-03-23 00:00:02 cleanup extract_desc(&nbsp;):           Bauingenieurwesen&nbsp;
2024-03-23 00:00:02 cleanup extract_desc(&nbsp;):           Technische Chemie&nbsp;
2024-03-23 00:00:02 cleanup extract_desc(&nbsp;):           Finanz- und Versicherungsmathematik&nbsp;
2024-03-23 00:00:02 cleanup extract_desc(&nbsp;):           Technische Informatik&nbsp;
2024-03-23 00:00:02 cleanup extract_desc(&nbsp;):           Verfahrenstechnik&nbsp;und nachhaltige Produktion
2024-03-23 00:00:02 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc-Studienplaene_2023/Bachelorstudium_Architektur_2023.pdf|Architektur
2024-03-23 00:00:02 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc-Studienplaene_2023/Bachelorstudium_Bauingenieurwesen_2023.pdf|Bauingenieurwesen
2024-03-23 00:00:02 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc-Studienplaene_2023/Bachelorstudium_Geodaesie_und_Geoinformation_2023.pdf|Geodäsie und Geoinformation
2024-03-23 00:00:02 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc-Studienplaene_2023/Bachelorstudium_Elektrotechnik_und_Informationstechnik_2023.pdf|Elektrotechnik und Informationstechnik
2024-03-23 00:00:02 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc-Studienplaene_2022/Bachelorstudium_Medieninformatik_und_Visual_Computing_2022.pdf|Medieninformatik und Visual Computing
2024-03-23 00:00:02 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc-Studienplaene_2022/Bachelorstudium_Medizinische_Informatik_2022.pdf|Medizinische Informatik
2024-03-23 00:00:02 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc-Studienplaene_2022/Bachelorstudium_Software_and_Information_Engineering_2022.pdf|Software &amp; Information Engineering
2024-03-23 00:00:02 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc-Studienplaene_2023/Bachelorstudium_Technische_Informatik.pdf|Technische Informatik
2024-03-23 00:00:02 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc-Studienplaene_2023/Bachelorstudium_Wirtschaftsinformatik_2023.pdf|Wirtschaftsinformatik
