2022-11-28 00:00:01 start                                   
2022-11-28 00:00:01 TLD:                                    https://www.tuwien.at
2022-11-28 00:00:01 crawled site:                           /tu-wien/organisation/zentrale-bereiche/studienabteilung/studienplaene
2022-11-28 00:00:01 temp download folder:                   /mnt/usb-SanDisk_Cruzer_Contour/git_repos/TU-Wien-curricula-archive/temp_downloads/
2022-11-28 00:00:01 curricula folder:                       /mnt/usb-SanDisk_Cruzer_Contour/git_repos/TU-Wien-curricula-archive/curricula/
2022-11-28 00:00:01 searchstr: 0                            BSc
2022-11-28 00:00:01 searchstr: 1                            MSc
2022-11-28 00:00:01 searchstr: 2                            Doktor
2022-11-28 00:00:01 searchstr: 3                            Erweiterungsstudium
2022-11-28 00:00:01 searchstr: 4                            Gemeinsame_Studienprogramme
2022-11-28 00:00:01 searchstr: 5                            Alte_Studienplaene
2022-11-28 00:00:01 fetching page source                    
2022-11-28 00:00:04 page crawling donw                      
2022-11-28 00:00:04 parsing page source                     
2022-11-28 00:00:04 cleanup extract_desc(&nbsp;):           Bauingenieurwesen&nbsp;
2022-11-28 00:00:04 cleanup extract_desc(&nbsp;):           Technische Chemie&nbsp;
2022-11-28 00:00:04 cleanup extract_desc(&nbsp;):           Finanz- und Versicherungsmathematik&nbsp;
2022-11-28 00:00:04 cleanup extract_desc(&nbsp;):           Verfahrenstechnik&nbsp;und nachhaltige Produktion
2022-11-28 00:00:04 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc-Studienplaene_2022/Bachelorstudium_Architektur_2022.pdf|Architektur
2022-11-28 00:00:04 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc-Studienplaene_2022/Bachelorstudium_Bauingenieurwesen_2022.pdf|Bauingenieurwesen
2022-11-28 00:00:04 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc-Studienplaene_2022/Bachelorstudium_Geodaesie_und_Geoinformation_2022.pdf|Geodäsie und Geoinformation
2022-11-28 00:00:04 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc-Studienplaene_2022/Bachelorstudium_Elektrotechnik_und_Informationstechnik_2022.pdf|Elektrotechnik und Informationstechnik
2022-11-28 00:00:04 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc-Studienplaene_2022/Bachelorstudium_Medieninformatik_und_Visual_Computing_2022.pdf|Medieninformatik und Visual Computing
2022-11-28 00:00:04 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc-Studienplaene_2022/Bachelorstudium_Medizinische_Informatik_2022.pdf|Medizinische Informatik
2022-11-28 00:00:04 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc-Studienplaene_2022/Bachelorstudium_Software_and_Information_Engineering_2022.pdf|Software &amp; Information Engineering
2022-11-28 00:00:04 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc-Studienplaene_2022/Bachelorstudium_Technische_Informatik_2022.pdf|Technische Informatik
2022-11-28 00:00:04 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc-Studienplaene_2022/Bachelorstudium_Wirtschaftsinformatik_2022.pdf|Wirtschaftsinformatik
2022-11-28 00:00:04 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc-Studienplaene_2022/Bachelorstudium_Maschinenbau_2022.pdf|Maschinenbau
2022-11-28 00:00:04 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc-Studienplaene_2022/Bachelorstudium_Wirtschaftsingenieurwesen_Maschinenbau_2022.pdf|Wirtschaftsingenieurwesen - Maschinenbau
2022-11-28 00:00:04 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc-Studienplaene_2022/Bachelorstudium_Raumplanung_und_Raumordnung_2022.pdf|Raumplanung und Raumordnung
2022-11-28 00:00:04 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc-Studienplaene_2022/Bachelorstudium_Technische_Chemie_2022.pdf|Technische Chemie
2022-11-28 00:00:04 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc-Studienplaene_2022/Bachelorstudium_Technische_Mathematik_2022.pdf|Technische Mathematik
