2025-06-08 00:00:01 start                                   
2025-06-08 00:00:01 TLD:                                    https://www.tuwien.at
2025-06-08 00:00:01 crawled site:                           /tu-wien/organisation/zentrale-bereiche/studienabteilung/studienplaene
2025-06-08 00:00:01 temp download folder:                   /mnt/usb-SanDisk_Cruzer_Contour/git_repos/TU-Wien-curricula-archive/temp_downloads/
2025-06-08 00:00:01 curricula folder:                       /mnt/usb-SanDisk_Cruzer_Contour/git_repos/TU-Wien-curricula-archive/curricula/
2025-06-08 00:00:01 searchstr: 0                            BSc
2025-06-08 00:00:01 searchstr: 1                            MSc
2025-06-08 00:00:01 searchstr: 2                            Doktor
2025-06-08 00:00:01 searchstr: 3                            Erweiterungsstudium
2025-06-08 00:00:01 searchstr: 4                            Gemeinsame_Studienprogramme
2025-06-08 00:00:01 searchstr: 5                            Alte_Studienplaene
2025-06-08 00:00:01 fetching page source                    
2025-06-08 00:00:04 page crawling donw                      
2025-06-08 00:00:04 parsing page source                     
2025-06-08 00:00:04 cleanup extract_desc(&nbsp;):           Bauingenieurwesen&nbsp;
2025-06-08 00:00:04 cleanup extract_desc(&nbsp;):           Technische Chemie&nbsp;
2025-06-08 00:00:04 cleanup extract_desc(&nbsp;):           Finanz- und Versicherungsmathematik&nbsp;
2025-06-08 00:00:04 cleanup extract_desc(&nbsp;):           Mikroelektronik und Photonik&nbsp;
2025-06-08 00:00:04 cleanup extract_desc(&nbsp;):           Technische Informatik&nbsp;
2025-06-08 00:00:04 cleanup extract_desc(&nbsp;):           Verfahrenstechnik&nbsp;und nachhaltige Produktion
2025-06-08 00:00:04 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc-Studienplaene_2024/Bachelorstudium_Architektur_2024.pdf|Architektur
2025-06-08 00:00:04 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc-Studienplaene_2024/Bachelorstudium_Bauingenieurwesen_2024.pdf|Bauingenieurwesen
2025-06-08 00:00:04 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc-Studienplaene_2024/Bachelorstudium_Geodaesie_und_Geoinformation_2024.pdf|Geodäsie und Geoinformation
2025-06-08 00:00:04 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc-Studienplaene_2024/Bachelorstudium_Elektrotechnik_und_Informationstechnik_2024.pdf|Elektrotechnik und Informationstechnik
2025-06-08 00:00:04 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc-Studienplaene_2024/Bachelorstudium_Informatik.pdf|Informatik
2025-06-08 00:00:04 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc-Studienplaene_2024/Bachelorstudium_Wirtschaftsinformatik_2024.pdf|Wirtschaftsinformatik
2025-06-08 00:00:04 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc-Studienplaene_2024/Bachelorstudium_Technische_Informatik_2024.pdf|Technische Informatik
2025-06-08 00:00:04 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc-Studienplaene_2024/Bachelorstudium_Maschinenbau_2024.pdf|Maschinenbau
2025-06-08 00:00:04 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc-Studienplaene_2024/Bachelorstudium_Wirtschaftsingenieurwesen-Maschinenbau_2024.pdf|Wirtschaftsingenieurwesen - Maschinenbau
2025-06-08 00:00:04 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc-Studienplaene_2024/Bachelorstudium_Raumplanung_und_Raumordnung_2024.pdf|Raumplanung und Raumordnung
2025-06-08 00:00:04 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc-Studienplaene_2024/Bachelorstudium_Technische_Chemie_2024.pdf|Technische Chemie
