2021-07-03 15:39:11 start                                   
2021-07-03 15:39:11 TLD:                                    https://www.tuwien.at
2021-07-03 15:39:11 crawled site:                           /tu-wien/organisation/zentrale-bereiche/studienabteilung/studienplaene
2021-07-03 15:39:11 temp download folder:                   /home/itsme/Desktop/git_repos/TU-Wien-curricula-archive/temp_downloads/
2021-07-03 15:39:11 curricula folder:                       /home/itsme/Desktop/git_repos/TU-Wien-curricula-archive/curricula/
2021-07-03 15:39:11 searchstr: 0                            BSc
2021-07-03 15:39:11 searchstr: 1                            MSc
2021-07-03 15:39:11 searchstr: 2                            Doktor
2021-07-03 15:39:11 searchstr: 3                            Erweiterungsstudium
2021-07-03 15:39:11 searchstr: 4                            Gemeinsame_Studienprogramme
2021-07-03 15:39:11 searchstr: 5                            Alte_Studienplaene
2021-07-03 15:39:11 fetching page source                    
2021-07-03 15:39:12 page crawling donw                      
2021-07-03 15:39:12 parsing page source                     
2021-07-03 15:39:12 cleanup extract_desc(&nbsp;):           Bauingenieurwesen&nbsp;
2021-07-03 15:39:12 cleanup extract_desc(&nbsp;):           Technische Chemie&nbsp;
2021-07-03 15:39:12 cleanup extract_desc(&nbsp;):           Finanz- und Versicherungsmathematik&nbsp;
2021-07-03 15:39:12 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc_Studienplaene_2021/Bachelorstudium_Architektur_2021__3_.pdf|Architektur
2021-07-03 15:39:12 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc_Studienplaene_2021/Bachelorstudium_Bauingenieurwesen_2021.pdf|Bauingenieurwesen
2021-07-03 15:39:12 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc_Studienplaene_2021/Bachelorstudium_Geodaesie_und_Geoinformation_2021.pdf|Geodäsie und Geoinformation
2021-07-03 15:39:12 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc_Studienplaene_2018/BachelorElektrotechnikundInformationstechnik.pdf|Elektrotechnik und Informationstechnik
2021-07-03 15:39:12 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc_Studienplaene_2021/Bachelorstudium_Medieninformatik_und_Visual_Computing_2021.pdf|Medieninformatik und Visual Computing
2021-07-03 15:39:12 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc_Studienplaene_2021/Bachelorstudium_Medizinische_Informatik_2021.pdf|Medizinische Informatik
2021-07-03 15:39:12 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc_Studienplaene_2021/Bachelorstudium_Software_and_Information_Engineering_2021.pdf|Software &amp; Information Engineering
2021-07-03 15:39:12 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc_Studienplaene_2021/Bachelorstudium_Technische_Informatik_2021.pdf|Technische Informatik
2021-07-03 15:39:12 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc_Studienplaene_2021/Bachelorstudium_Wirtschaftsinformatik_2021.pdf|Wirtschaftsinformatik
2021-07-03 15:39:12 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc_Studienplaene_2021/Bachelorstudium_Maschinenbau_2021.pdf|Maschinenbau
2021-07-03 15:39:12 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc_Studienplaene_2021/Bachelorstudium_Wirtschaftsingenieurwesen_Maschinenbau_2021.pdf|Wirtschaftsingenieurwesen - Maschinenbau
2021-07-03 15:39:12 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc_Studienplaene_2021/Bachelorstudium_Raumplanung_und_Raumordnung_2021.pdf|Raumplanung und Raumordnung
2021-07-03 15:39:12 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc_Studienplaene_2021/Bachelorstudium_Technische_Chemie_2021.pdf|Technische Chemie
2021-07-03 15:39:12 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc_Studienplaene_2021/Bachelorstudium_Technische_Mathematik_2021.pdf|Technische Mathematik
2021-07-03 15:39:12 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc_Studienplaene_2021/Bachelorstudium_Statistik_und_Wirtschaftsmathematik_2021.pdf|Statistik und Wirtschaftsmathematik
2021-07-03 15:39:12 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc_Studienplaene_2021/Bachelorstudium_Finanz-_und_Versicherungsmathematik_2021.pdf|Finanz- und Versicherungsmathematik
2021-07-03 15:39:12 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc_Studienplaene_2021/Bachelorstudium_Technische_Physik_2021.pdf|Technische Physik
2021-07-03 15:39:12 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc_Studienplaene_2018/2Bachelorstudium_Umweltingenieurwesen.pdf|Umweltingenieurwesen
2021-07-03 15:39:12 extracted file[0]:                      /fileadmin/Assets/dienstleister/studienabteilung/BSc_Studienplaene_2021/Bachelorstudium_Verfahrenstechnik_2021.pdf|Verfahrenstechnik
2021-07-03 15:39:12 extracted file[1]:                      /fileadmin/Assets/dienstleister/studienabteilung/MSc_Studienplaene_2021/Masterstudium_Architektur_2021.pdf|Architektur
2021-07-03 15:39:12 extracted file[5]:                      /fileadmin/Assets/dienstleister/studienabteilung/Alte_Studienplaene/Masterstudium_Building_Science_and_Technology.pdf|Building Science &amp; Technologie
2021-07-03 15:39:12 extracted file[1]:                      /fileadmin/Assets/dienstleister/studienabteilung/MSc_Studienplaene_2021/Masterstudium_Bauingenieurwissenschaften_2021.pdf|Bauingenieurwissenschaften
2021-07-03 15:39:12 extracted file[1]:                      /fileadmin/Assets/dienstleister/studienabteilung/MSc_Studienplaene_2021/Masterstudium_Umweltingenieurwesen-1.pdf|Umweltingenieurwesen
2021-07-03 15:39:12 extracted file[1]:                      /fileadmin/Assets/dienstleister/studienabteilung/MSc_Studienplaene_2021/Masterstudium_Biomedical_Engineering_2021.pdf|Biomedical Engineering
2021-07-03 15:39:12 extracted file[1]:                      /fileadmin/Assets/dienstleister/studienabteilung/MSc_Studienplaene_2021/Masterstudium_Computational_Science_and_Engineering_2021.pdf|Computational Science and Engineering
2021-07-03 15:39:12 extracted file[1]:                      /fileadmin/Assets/dienstleister/studienabteilung/MSc_Studienplaene_2021/Masterstudium_Embedded_Systems_2021.pdf|Embedded Systems
2021-07-03 15:39:12 extracted file[1]:                      /fileadmin/Assets/dienstleister/studienabteilung/MSc_Studienplaene_2021/Masterstudium_Energie_und_Automatisierungstechnik_2021.pdf|Energie- und Automatisierungstechnik
2021-07-03 15:39:12 extracted file[1]:                      /fileadmin/Assets/dienstleister/studienabteilung/MSc_Studienplaene_2021/Masterstudium_Telecommunications_2021.pdf|Telecommunications 
2021-07-03 15:39:12 extracted file[1]:                      /fileadmin/Assets/dienstleister/studienabteilung/MSc_Studienplaene_2021/Masterstudium_Mikroelektronik_und_Photonik_2021.pdf|Mikroelektronik und Photonik
2021-07-03 15:39:12 extracted file[5]:                      /fileadmin/Assets/dienstleister/studienabteilung/Alte_Studienplaene/Master_Energietechnik.pdf|Computertechnik 
2021-07-03 15:39:12 extracted file[1]:                      /fileadmin/Assets/dienstleister/studienabteilung/MSc_Studienplaene_2021/Masterstudium_Geodaesie_Und_Geoinformation_2021.pdf|Geodäsie und Geoinformation
2021-07-03 15:39:12 extracted file[1]:                      /fileadmin/Assets/dienstleister/studienabteilung/MSc_Studienplaene_2021/Masterstudium_Logic_and_Computation_2021.pdf|Logic and Computation
2021-07-03 15:39:12 extracted file[1]:                      /fileadmin/Assets/dienstleister/studienabteilung/MSc_Studienplaene_2021/Masterstudium_Visual_Computing_2021.pdf|Visual Computing
2021-07-03 15:39:12 extracted file[1]:                      /fileadmin/Assets/dienstleister/studienabteilung/MSc_Studienplaene_2021/Masterstudium_Media_and_Human-Centered_Computing_2021.pdf|Media and Human-Centered Computing
2021-07-03 15:39:12 extracted file[1]:                      /fileadmin/Assets/dienstleister/studienabteilung/MSc_Studienplaene_2021/Masterstudium_Medizinische_Informatik_2021.pdf|Medizinische Informatik
2021-07-03 15:39:12 extracted file[1]:                      /fileadmin/Assets/dienstleister/studienabteilung/MSc_Studienplaene_2021/Masterstudium_Software_Engineering_and_Internet_Computing_2021.pdf|Software Engineering &amp; Internet Computing
2021-07-03 15:39:12 extracted file[1]:                      /fileadmin/Assets/dienstleister/studienabteilung/MSc_Studienplaene_2021/Masterstudium_Technische_Informatik_2021.pdf|Technische Informatik
2021-07-03 15:39:12 extracted file[1]:                      /fileadmin/Assets/dienstleister/studienabteilung/MSc_Studienplaene_2021/Masterstudium_Maschinenbau_2021.pdf|Maschinenbau
2021-07-03 15:39:12 extracted file[1]:                      /fileadmin/Assets/dienstleister/studienabteilung/MSc_Studienplaene_2021/Masterstudium_WirtschaftsingenieurwesenMaschinenbau_2021.pdf|Wirtschaftsingenieurwesen - Maschinenbau
2021-07-03 15:39:12 extracted file[1]:                      /fileadmin/Assets/dienstleister/studienabteilung/MSc_Studienplaene_2020/Masterstudium_Materialwissenschaften_2020.pdf|Materialwissenschaften
2021-07-03 15:39:12 extracted file[1]:                      /fileadmin/Assets/dienstleister/studienabteilung/MSc_Studienplaene_2021/Masterstudium_Raumplanung_und_Raumordnung_2021.pdf|Raumplanung und Raumordnung
2021-07-03 15:39:12 extracted file[1]:                      /fileadmin/Assets/dienstleister/studienabteilung/MSc_Studienplaene_2021/Masterstudium_Technische_Chemie_2021.pdf|Technische Chemie
2021-07-03 15:39:12 extracted file[1]:                      /fileadmin/Assets/dienstleister/studienabteilung/MSc_Studienplaene_2020/Masterstudium_Technische_Chemie_2020_Anhang_Modulbeschreibungen.pdf|Modulbeschreibung
2021-07-03 15:39:12 extracted file[1]:                      /fileadmin/Assets/dienstleister/studienabteilung/MSc_Studienplaene_2021/Masterstudium_Technische_Mathematik_2021.pdf|Technische Mathematik
